number,value,datetime_start,datetime_complete,duration,params_lambda_reg,params_w_directors,params_w_genres,params_w_titles,params_w_writers,params_w_years,state
0,0.3011088587220602,2025-12-31 07:58:16.151385,2025-12-31 07:58:55.131534,0 days 00:00:38.980149,650.8300007266023,14.50590946828363,20.383121462445658,0.3127461466597947,33.46175475907382,14.796561221193102,COMPLETE
1,0.29965653597748626,2025-12-31 07:58:55.131838,2025-12-31 07:59:33.826562,0 days 00:00:38.694724,371.3841361274881,46.51031031154918,7.632218461881241,6.493200341158323,32.7701770475212,15.773508128918639,COMPLETE
2,0.30163085621153224,2025-12-31 07:59:33.826853,2025-12-31 08:00:12.107082,0 days 00:00:38.280229,1114.8673104285479,27.194202081643382,22.558793233916646,15.159868117384885,35.14878175812291,3.833121720334227,COMPLETE
3,0.2928360994695497,2025-12-31 08:00:12.107403,2025-12-31 08:00:50.702374,0 days 00:00:38.594971,146.37781761018354,23.926697147269373,1.0730468177544694,12.875554304432157,3.4250184717713017,7.131776532065162,COMPLETE
4,0.3020139774659864,2025-12-31 08:00:50.702594,2025-12-31 08:01:29.614182,0 days 00:00:38.911588,794.6343135879906,43.606950450831086,16.040340507435296,12.374277900088922,34.800937062461436,7.9430289572590045,COMPLETE
5,0.29313015012552646,2025-12-31 08:01:29.614502,2025-12-31 08:02:08.230184,0 days 00:00:38.615682,140.98270381469334,17.415777756444324,24.6341590400018,8.96990482883566,46.10566722791286,17.563545590273197,COMPLETE
6,0.29151001174279234,2025-12-31 08:02:08.230658,2025-12-31 08:02:47.052362,0 days 00:00:38.821704,114.91674284052417,9.961164419979717,44.38400929876048,12.928807645100855,17.096692132059566,17.97359652948983,COMPLETE
7,0.29636034175574993,2025-12-31 08:02:47.052563,2025-12-31 08:03:25.734229,0 days 00:00:38.681666,219.70557233273732,7.578111208310212,30.76279944415778,10.527368297482404,42.1728365200236,10.624241127895784,COMPLETE
8,0.30080755739795917,2025-12-31 08:03:25.734664,2025-12-31 08:04:04.344206,0 days 00:00:38.609542,1007.614427075446,15.00455505165551,26.358399147236998,5.805840857863185,15.287835681393352,16.73919986676253,COMPLETE
9,0.30054939312034334,2025-12-31 08:04:04.344571,2025-12-31 08:04:42.697360,0 days 00:00:38.352789,851.0619052291893,21.745907141261757,29.80329894903812,9.621743054716879,0.6323640943678044,12.725195871368038,COMPLETE
10,0.29975995606575967,2025-12-31 08:04:42.697717,2025-12-31 08:05:21.264738,0 days 00:00:38.567021,1780.5341068157068,47.035686047479,13.751541187149158,19.61344875037618,20.364580178709456,0.30901704037066136,COMPLETE
11,0.3000776441528993,2025-12-31 08:05:21.265098,2025-12-31 08:05:59.983163,0 days 00:00:38.718065,1667.6727315755074,35.35133819365827,12.212473098208834,17.58688590398223,32.242227467918546,5.020678786801491,COMPLETE
12,0.30102023100907027,2025-12-31 08:05:59.983696,2025-12-31 08:06:38.902872,0 days 00:00:38.919176,452.12475581163875,34.86248772930384,39.409353449858926,15.768200335928983,39.079786957025476,3.7490459984834477,COMPLETE
13,0.3015807974975705,2025-12-31 08:06:38.903165,2025-12-31 08:07:17.729497,0 days 00:00:38.826332,1093.4939246402394,34.160586555655,17.785824610164926,14.917552772490508,26.47418705979974,7.577134640078011,COMPLETE
14,0.30119400662050533,2025-12-31 08:07:17.729789,2025-12-31 08:07:56.499321,0 days 00:00:38.769532,509.500211293251,39.63057679805749,33.722657384783375,14.102194176477155,25.997908045861358,1.1032643269165021,COMPLETE
15,0.3016946696833495,2025-12-31 08:07:56.499669,2025-12-31 08:08:35.322975,0 days 00:00:38.823306,1159.4498676457974,28.817088852199362,5.580102406583251,17.962509516520182,49.37678857972199,7.692564260942412,COMPLETE
16,0.29929636884515715,2025-12-31 08:08:35.323379,2025-12-31 08:09:14.012297,0 days 00:00:38.688918,339.48048873853253,28.955219088663632,1.1789942625260688,19.90501141583956,49.62500680942003,9.327601543336367,COMPLETE
17,0.3020049426020408,2025-12-31 08:09:14.012691,2025-12-31 08:09:52.405960,0 days 00:00:38.393269,725.9662687096862,40.65707942092994,8.255349500632637,17.573515553126136,42.850995597247326,11.601463396814099,COMPLETE
18,0.30176969448493685,2025-12-31 08:09:52.406183,2025-12-31 08:10:31.320208,0 days 00:00:38.914025,684.741412349913,41.51183260590074,13.528101789077423,11.901913191782617,41.44549900076204,12.513182671198651,COMPLETE
19,0.29812234268707477,2025-12-31 08:10:31.320519,2025-12-31 08:11:10.201331,0 days 00:00:38.880812,285.6646512398958,49.79370675639618,7.6265387182460955,6.66370118719324,37.76861737245089,11.200467322955635,COMPLETE
20,0.3004675858438614,2025-12-31 08:11:10.201619,2025-12-31 08:11:49.164984,0 days 00:00:38.963365,573.9243660816974,41.8804220327964,18.409393430454042,2.5142409786971642,9.329879380970505,13.985186133117743,COMPLETE
21,0.3019691068391642,2025-12-31 08:11:49.165280,2025-12-31 08:12:27.908778,0 days 00:00:38.743498,822.1805280259238,42.55306922218228,14.041431070929233,11.605223075038644,42.84616644865148,19.865941194831805,COMPLETE
22,0.30196148920877874,2025-12-31 08:12:27.909115,2025-12-31 08:13:06.862472,0 days 00:00:38.953357,747.2867057551439,44.076665507764936,10.725619385265341,17.08097045326751,44.41232685345966,19.968543731875606,COMPLETE
23,0.30039559797133136,2025-12-31 08:13:06.862775,2025-12-31 08:13:45.376617,0 days 00:00:38.513842,1473.167274840126,33.89861990811935,15.501055529562153,10.720709502009207,29.735760654887336,9.536691086189132,COMPLETE
24,0.3019797993602203,2025-12-31 08:13:45.376915,2025-12-31 08:14:23.703797,0 days 00:00:38.326882,835.2020526530904,39.21639096058753,5.945353507991406,7.699500582972463,38.81856779523821,5.6317379512328145,COMPLETE
25,0.3008278162455458,2025-12-31 08:14:23.704094,2025-12-31 08:15:02.330712,0 days 00:00:38.626618,1397.4118021858808,39.170002913014535,4.217015903341095,8.119047335739364,37.427252636448685,5.521380312826687,COMPLETE
26,0.3009842560536119,2025-12-31 08:15:02.331345,2025-12-31 08:15:40.743788,0 days 00:00:38.412443,539.0597280409618,31.631974861318533,9.853140946231793,3.9925110405372264,28.88597161434224,2.453762883823707,COMPLETE
27,0.3015778744533527,2025-12-31 08:15:40.744330,2025-12-31 08:16:20.173944,0 days 00:00:39.429614,859.414337274139,37.220736653180225,5.186454451688711,8.038744945531661,21.337967745459085,6.252273093856882,COMPLETE
